Ghi chu:,Water Level (m)- Muc nuoc; Rainfall (mm)-Luong mua; ,,,,,,,,,,,,,,,,,,,,,,,,,
,RF_KienGiang,RF_LeThuy,RF_DongHoi,WL_KienGiang,WL_LeThuy,WL_DongHoi,,RF_KienGiang (t-2),RF_KienGiang (t-1),RF_KienGiang (t),RF_LeThuy (t-2),RF_LeThuy (t-1),RF_LeThuy (t),RF_LeThuy (t+1),RF_DongHoi (t-2),RF_DongHoi (t-1),RF_DongHoi (t),WL_KienGiang (t-2),WL_KienGiang (t-1),WL_KienGiang (t),WL_LeThuy (t-2),WL_LeThuy (t-1),WL_LeThuy (t),WL_DongHoi (t-2),WL_DongHoi (t-1),WL_DongHoi (t)
5/11/2010 15:00,0,0,0,6.24,0.81,0.19,,0,0,0,0,0,0,0.6,0,0,0,6.24,6.23,6.23,0.81,0.81,0.81,0.19,0.05,0.02
5/11/2010 16:00,0,0,0,6.23,0.81,0.05,,0,0,0.8,0,0,0.6,0.2,0,0,0,6.23,6.23,6.23,0.81,0.81,0.8,0.05,0.02,0.05
5/11/2010 17:00,0,0,0,6.23,0.81,0.02,,0,0.8,0.4,0,0.6,0.2,0,0,0,0,6.23,6.23,6.23,0.81,0.8,0.8,0.02,0.05,0.19
5/11/2010 18:00,0.8,0.6,0,6.23,0.8,0.05,,0.8,0.4,0.4,0.6,0.2,0,0,0,0,0,6.23,6.23,6.23,0.8,0.8,0.8,0.05,0.19,0.43
5/11/2010 19:00,0.4,0.2,0,6.23,0.8,0.19,,0.4,0.4,0.4,0.2,0,0,0,0,0,0,6.23,6.23,6.23,0.8,0.8,0.8,0.19,0.43,0.69
5/11/2010 20:00,0.4,0,0,6.23,0.8,0.43,,0.4,0.4,0.2,0,0,0,0,0,0,0,6.23,6.23,6.23,0.8,0.8,0.8,0.43,0.69,0.81
5/11/2010 21:00,0.4,0,0,6.23,0.8,0.69,,0.4,0.2,0.2,0,0,0,0,0,0,0,6.23,6.23,6.22,0.8,0.8,0.8,0.69,0.81,0.96
5/11/2010 22:00,0.2,0,0,6.23,0.8,0.81,,0.2,0.2,0.2,0,0,0,0,0,0,0,6.23,6.22,6.22,0.8,0.8,0.8,0.81,0.96,1.06
5/11/2010 23:00,0.2,0,0,6.22,0.8,0.96,,0.2,0.2,0,0,0,0,0,0,0,0.2,6.22,6.22,6.22,0.8,0.8,0.8,0.96,1.06,1.04
6/11/2010 0:00,0.2,0,0,6.22,0.8,1.06,,0.2,0,0,0,0,0,0,0,0.2,0,6.22,6.22,6.22,0.8,0.8,0.8,1.06,1.04,0.9
6/11/2010 1:00,0,0,0.2,6.22,0.8,1.04,,0,0,0.4,0,0,0,0,0.2,0,0,6.22,6.22,6.22,0.8,0.8,0.8,1.04,0.9,0.73
6/11/2010 2:00,0,0,0,6.22,0.8,0.9,,0,0.4,0,0,0,0,0,0,0,0,6.22,6.22,6.21,0.8,0.8,0.8,0.9,0.73,0.55
6/11/2010 3:00,0.4,0,0,6.22,0.8,0.73,,0.4,0,0,0,0,0,0,0,0,0,6.22,6.21,6.21,0.8,0.8,0.8,0.73,0.55,0.45
6/11/2010 4:00,0,0,0,6.21,0.8,0.55,,0,0,0,0,0,0,0,0,0,0,6.21,6.21,6.21,0.8,0.8,0.8,0.55,0.45,0.35
6/11/2010 5:00,0,0,0,6.21,0.8,0.45,,0,0,0,0,0,0,0,0,0,0,6.21,6.21,6.21,0.8,0.8,0.8,0.45,0.35,0.34
6/11/2010 6:00,0,0,0,6.21,0.8,0.35,,0,0,0,0,0,0,0,0,0,0,6.21,6.21,6.21,0.8,0.8,0.8,0.35,0.34,0.39
6/11/2010 7:00,0,0,0,6.21,0.8,0.34,,0,0,0,0,0,0,0,0,0,0,6.21,6.21,6.21,0.8,0.8,0.8,0.34,0.39,0.53
6/11/2010 8:00,0,0,0,6.21,0.8,0.39,,0,0,0.4,0,0,0,0.4,0,0,0,6.21,6.21,6.21,0.8,0.8,0.79,0.39,0.53,0.63
6/11/2010 9:00,0,0,0,6.21,0.8,0.53,,0,0.4,0,0,0,0.4,0,0,0,0,6.21,6.21,6.21,0.8,0.79,0.79,0.53,0.63,0.66
6/11/2010 10:00,0.4,0,0,6.21,0.79,0.63,,0.4,0,0.2,0,0.4,0,0,0,0,0,6.21,6.21,6.21,0.79,0.79,0.78,0.63,0.66,0.63
6/11/2010 11:00,0,0.4,0,6.21,0.79,0.66,,0,0.2,0.2,0.4,0,0,0,0,0,0,6.21,6.21,6.21,0.79,0.78,0.78,0.66,0.63,0.53
6/11/2010 12:00,0.2,0,0,6.21,0.78,0.63,,0.2,0.2,0,0,0,0,0,0,0,0.4,6.21,6.21,6.21,0.78,0.78,0.78,0.63,0.53,0.32
6/11/2010 13:00,0.2,0,0,6.21,0.78,0.53,,0.2,0,0,0,0,0,0,0,0.4,0,6.21,6.21,6.21,0.78,0.78,0.77,0.53,0.32,0.08
6/11/2010 14:00,0,0,0.4,6.21,0.78,0.32,,0,0,0,0,0,0,0,0.4,0,0,6.21,6.21,6.21,0.78,0.77,0.77,0.32,0.08,-0.11
6/11/2010 15:00,0,0,0,6.21,0.77,0.08,,0,0,0,0,0,0,0,0,0,0,6.21,6.21,6.2,0.77,0.77,0.77,0.08,-0.11,-0.19
6/11/2010 16:00,0,0,0,6.21,0.77,-0.11,,0,0,0,0,0,0,0,0,0,0,6.21,6.2,6.2,0.77,0.77,0.76,-0.11,-0.19,-0.21
6/11/2010 17:00,0,0,0,6.2,0.77,-0.19,,0,0,0,0,0,0,0,0,0,0,6.2,6.2,6.2,0.77,0.76,0.76,-0.19,-0.21,-0.15
6/11/2010 18:00,0,0,0,6.2,0.76,-0.21,,0,0,0,0,0,0,0,0,0,0,6.2,6.2,6.2,0.76,0.76,0.76,-0.21,-0.15,0.04
6/11/2010 19:00,0,0,0,6.2,0.76,-0.15,,0,0,0,0,0,0,0,0,0,0,6.2,6.2,6.2,0.76,0.76,0.76,-0.15,0.04,0.31
6/11/2010 20:00,0,0,0,6.2,0.76,0.04,,0,0,0,0,0,0,0,0,0,0,6.2,6.2,6.19,0.76,0.76,0.76,0.04,0.31,0.53
6/11/2010 21:00,0,0,0,6.2,0.76,0.31,,0,0,0,0,0,0,0,0,0,0,6.2,6.19,6.19,0.76,0.76,0.75,0.31,0.53,0.68
6/11/2010 22:00,0,0,0,6.19,0.76,0.53,,0,0,0,0,0,0,0,0,0,0,6.19,6.19,6.19,0.76,0.75,0.75,0.53,0.68,0.81
6/11/2010 23:00,0,0,0,6.19,0.75,0.68,,0,0,0,0,0,0,0,0,0,0,6.19,6.19,6.19,0.75,0.75,0.75,0.68,0.81,0.93
7/11/2010 0:00,0,0,0,6.19,0.75,0.81,,0,0,0,0,0,0,0,0,0,0,6.19,6.19,6.19,0.75,0.75,0.75,0.81,0.93,0.95
7/11/2010 1:00,0,0,0,6.19,0.75,0.93,,0,0,0,0,0,0,0,0,0,0,6.19,6.19,6.19,0.75,0.75,0.74,0.93,0.95,0.84
7/11/2010 2:00,0,0,0,6.19,0.75,0.95,,0,0,0,0,0,0,0,0,0,0,6.19,6.19,6.19,0.75,0.74,0.74,0.95,0.84,0.68
7/11/2010 3:00,0,0,0,6.19,0.74,0.84,,0,0,0,0,0,0,0,0,0,0,6.19,6.19,6.18,0.74,0.74,0.74,0.84,0.68,0.52
7/11/2010 4:00,0,0,0,6.19,0.74,0.68,,0,0,0,0,0,0,0,0,0,0,6.19,6.18,6.18,0.74,0.74,0.73,0.68,0.52,0.37
7/11/2010 5:00,0,0,0,6.18,0.74,0.52,,0,0,0,0,0,0,0,0,0,0,6.18,6.18,6.18,0.74,0.73,0.73,0.52,0.37,0.33
7/11/2010 6:00,0,0,0,6.18,0.73,0.37,,0,0,0,0,0,0,0,0,0,0,6.18,6.18,6.18,0.73,0.73,0.73,0.37,0.33,0.29
7/11/2010 7:00,0,0,0,6.18,0.73,0.33,,0,0,0,0,0,0,0,0,0,0,6.18,6.18,6.18,0.73,0.73,0.72,0.33,0.29,0.33
7/11/2010 8:00,0,0,0,6.18,0.73,0.29,,0,0,0,0,0,0,0,0,0,0,6.18,6.18,6.17,0.73,0.72,0.72,0.29,0.33,0.44
7/11/2010 9:00,0,0,0,6.18,0.72,0.33,,0,0,0,0,0,0,0,0,0,0,6.18,6.17,6.17,0.72,0.72,0.72,0.33,0.44,0.51
7/11/2010 10:00,0,0,0,6.17,0.72,0.44,,0,0,0,0,0,0,0,0,0,0,6.17,6.17,6.17,0.72,0.72,0.71,0.44,0.51,0.54
7/11/2010 11:00,0,0,0,6.17,0.72,0.51,,0,0,0,0,0,0,0,0,0,0,6.17,6.17,6.16,0.72,0.71,0.71,0.51,0.54,0.46
7/11/2010 12:00,0,0,0,6.17,0.71,0.54,,0,0,0,0,0,0,0,0,0,0,6.17,6.16,6.15,0.71,0.71,0.71,0.54,0.46,0.32
7/11/2010 13:00,0,0,0,6.16,0.71,0.46,,0,0,0,0,0,0,0,0,0,0,6.16,6.15,6.15,0.71,0.71,0.7,0.46,0.32,0.07
7/11/2010 14:00,0,0,0,6.15,0.71,0.32,,0,0,0,0,0,0,0,0,0,0,6.15,6.15,6.14,0.71,0.7,0.7,0.32,0.07,-0.16
7/11/2010 15:00,0,0,0,6.15,0.7,0.07,,0,0,0,0,0,0,0,0,0,0,6.15,6.14,6.14,0.7,0.7,0.7,0.07,-0.16,-0.31
7/11/2010 16:00,0,0,0,6.14,0.7,-0.16,,0,0,0,0,0,0,0,0,0,0,6.14,6.14,6.13,0.7,0.7,0.69,-0.16,-0.31,-0.38
7/11/2010 17:00,0,0,0,6.14,0.7,-0.31,,0,0,0,0,0,0,0,0,0,0,6.14,6.13,6.13,0.7,0.69,0.69,-0.31,-0.38,-0.37
7/11/2010 18:00,0,0,0,6.13,0.69,-0.38,,0,0,0,0,0,0,0,0,0,0,6.13,6.13,6.13,0.69,0.69,0.69,-0.38,-0.37,-0.25
7/11/2010 19:00,0,0,0,6.13,0.69,-0.37,,0,0,0,0,0,0,0,0,0,0,6.13,6.13,6.13,0.69,0.69,0.68,-0.37,-0.25,-0.04
7/11/2010 20:00,0,0,0,6.13,0.69,-0.25,,0,0,0,0,0,0,0,0,0,0,6.13,6.13,6.14,0.69,0.68,0.68,-0.25,-0.04,0.2
7/11/2010 21:00,0,0,0,6.13,0.68,-0.04,,0,0,0,0,0,0,0,0,0,0,6.13,6.14,6.14,0.68,0.68,0.68,-0.04,0.2,0.4
7/11/2010 22:00,0,0,0,6.14,0.68,0.2,,0,0,0,0,0,0,0,0,0,0,6.14,6.14,6.15,0.68,0.68,0.67,0.2,0.4,0.57
7/11/2010 23:00,0,0,0,6.14,0.68,0.4,,0,0,0,0,0,0,0,0,0,0,6.14,6.15,6.15,0.68,0.67,0.67,0.4,0.57,0.83
8/11/2010 0:00,0,0,0,6.15,0.67,0.57,,0,0,0,0,0,0,0,0,0,0,6.15,6.15,6.15,0.67,0.67,0.67,0.57,0.83,0.73
8/11/2010 1:00,0,0,0,6.15,0.67,0.83,,0,0,0,0,0,0,0,0,0,0,6.15,6.15,6.15,0.67,0.67,0.66,0.83,0.73,0.86
8/11/2010 2:00,0,0,0,6.15,0.67,0.73,,0,0,0,0,0,0,0,0,0,0,6.15,6.15,6.15,0.67,0.66,0.66,0.73,0.86,0.77
8/11/2010 3:00,0,0,0,6.15,0.66,0.86,,0,0,0,0,0,0,0,0,0,0,6.15,6.15,6.15,0.66,0.66,0.66,0.86,0.77,0.63
8/11/2010 4:00,0,0,0,6.15,0.66,0.77,,0,0,0,0,0,0,0,0,0,0,6.15,6.15,6.15,0.66,0.66,0.65,0.77,0.63,0.52
8/11/2010 5:00,0,0,0,6.15,0.66,0.63,,0,0,0,0,0,0,0,0,0,0,6.15,6.15,6.15,0.66,0.65,0.65,0.63,0.52,0.39
8/11/2010 6:00,0,0,0,6.15,0.65,0.52,,0,0,0,0,0,0,0,0,0,0,6.15,6.15,6.15,0.65,0.65,0.65,0.52,0.39,0.33
8/11/2010 7:00,0,0,0,6.15,0.65,0.39,,0,0,0,0,0,0,0,0,0,0,6.15,6.15,6.15,0.65,0.65,0.65,0.39,0.33,0.33
8/11/2010 8:00,0,0,0,6.15,0.65,0.33,,0,0,0,0,0,0,0,0,0,0,6.15,6.15,6.15,0.65,0.65,0.64,0.33,0.33,0.41
8/11/2010 9:00,0,0,0,6.15,0.65,0.33,,0,0,0,0,0,0,0,0,0,0,6.15,6.15,6.14,0.65,0.64,0.64,0.33,0.41,0.47
8/11/2010 10:00,0,0,0,6.15,0.64,0.41,,0,0,0,0,0,0,0,0,0,0,6.15,6.14,6.14,0.64,0.64,0.64,0.41,0.47,0.49
8/11/2010 11:00,0,0,0,6.14,0.64,0.47,,0,0,0,0,0,0,0,0,0,0,6.14,6.14,6.14,0.64,0.64,0.64,0.47,0.49,0.48
8/11/2010 12:00,0,0,0,6.14,0.64,0.49,,0,0,0,0,0,0,0,0,0,0,6.14,6.14,6.14,0.64,0.64,0.64,0.49,0.48,0.35
8/11/2010 13:00,0,0,0,6.14,0.64,0.48,,0,0,0,0,0,0,0,0,0,0,6.14,6.14,6.13,0.64,0.64,0.64,0.48,0.35,0.15
8/11/2010 14:00,0,0,0,6.14,0.64,0.35,,0,0,0,0,0,0,0,0,0,0,6.14,6.13,6.13,0.64,0.64,0.64,0.35,0.15,-0.08
8/11/2010 15:00,0,0,0,6.13,0.64,0.15,,0,0,0,0,0,0,0,0,0,0,6.13,6.13,6.13,0.64,0.64,0.63,0.15,-0.08,-0.3
8/11/2010 16:00,0,0,0,6.13,0.64,-0.08,,0,0,0,0,0,0,0,0,0,0,6.13,6.13,6.12,0.64,0.63,0.63,-0.08,-0.3,-0.41
8/11/2010 17:00,0,0,0,6.13,0.63,-0.3,,0,0,0,0,0,0,0,0,0,0,6.13,6.12,6.12,0.63,0.63,0.63,-0.3,-0.41,-0.47
8/11/2010 18:00,0,0,0,6.12,0.63,-0.41,,0,0,0,0,0,0,0,0,0,0,6.12,6.12,6.12,0.63,0.63,0.63,-0.41,-0.47,-0.42
8/11/2010 19:00,0,0,0,6.12,0.63,-0.47,,0,0,0,0,0,0,0,0,0,0,6.12,6.12,6.12,0.63,0.63,0.63,-0.47,-0.42,-0.3
8/11/2010 20:00,0,0,0,6.12,0.63,-0.42,,0,0,0,0,0,0,0,0,0,0,6.12,6.12,6.12,0.63,0.63,0.63,-0.42,-0.3,-0.07
8/11/2010 21:00,0,0,0,6.12,0.63,-0.3,,0,0,0,0,0,0,0,0,0,0,6.12,6.12,6.12,0.63,0.63,0.62,-0.3,-0.07,0.16
8/11/2010 22:00,0,0,0,6.12,0.63,-0.07,,0,0,0,0,0,0,0,0,0,0,6.12,6.12,6.12,0.63,0.62,0.62,-0.07,0.16,0.36
8/11/2010 23:00,0,0,0,6.12,0.62,0.16,,0,0,0,0,0,0,0,0,0,0,6.12,6.12,6.12,0.62,0.62,0.62,0.16,0.36,0.55
9/11/2010 0:00,0,0,0,6.12,0.62,0.36,,0,0,0,0,0,0,0,0,0,0,6.12,6.12,6.12,0.62,0.62,0.62,0.36,0.55,0.73
9/11/2010 1:00,0,0,0,6.12,0.62,0.55,,0,0,0,0,0,0,0,0,0,0,6.12,6.12,6.12,0.62,0.62,0.62,0.55,0.73,0.83
9/11/2010 2:00,0,0,0,6.12,0.62,0.73,,0,0,0,0,0,0,0,0,0,0,6.12,6.12,6.12,0.62,0.62,0.61,0.73,0.83,0.84
9/11/2010 3:00,0,0,0,6.12,0.62,0.83,,0,0,0,0,0,0,1,0,0,0,6.12,6.12,6.12,0.62,0.61,0.61,0.83,0.84,0.77
9/11/2010 4:00,0,0,0,6.12,0.61,0.84,,0,0,1.2,0,0,1,0,0,0,0,6.12,6.12,6.12,0.61,0.61,0.61,0.84,0.77,0.66
9/11/2010 5:00,0,0,0,6.12,0.61,0.77,,0,1.2,1.4,0,1,0,0,0,0,0,6.12,6.12,6.12,0.61,0.61,0.61,0.77,0.66,0.56
9/11/2010 6:00,1.2,1,0,6.12,0.61,0.66,,1.2,1.4,1.4,1,0,0,0,0,0,0,6.12,6.12,6.12,0.61,0.61,0.61,0.66,0.56,0.48
9/11/2010 7:00,1.4,0,0,6.12,0.61,0.56,,1.4,1.4,0,0,0,0,0,0,0,0,6.12,6.12,6.12,0.61,0.61,0.61,0.56,0.48,0.46
9/11/2010 8:00,1.4,0,0,6.12,0.61,0.48,,1.4,0,0,0,0,0,0,0,0,0,6.12,6.12,6.12,0.61,0.61,0.61,0.48,0.46,0.49
9/11/2010 9:00,0,0,0,6.12,0.61,0.46,,0,0,0,0,0,0,0,0,0,0,6.12,6.12,6.12,0.61,0.61,0.61,0.46,0.49,0.51
9/11/2010 10:00,0,0,0,6.12,0.61,0.49,,0,0,0,0,0,0,0,0,0,0,6.12,6.12,6.12,0.61,0.61,0.61,0.49,0.51,0.55
9/11/2010 11:00,0,0,0,6.12,0.61,0.51,,0,0,0,0,0,0,0,0,0,0,6.12,6.12,6.12,0.61,0.61,0.61,0.51,0.55,0.55
9/11/2010 12:00,0,0,0,6.12,0.61,0.55,,0,0,0,0,0,0,0,0,0,0,6.12,6.12,6.12,0.61,0.61,0.61,0.55,0.55,0.49
9/11/2010 13:00,0,0,0,6.12,0.61,0.55,,0,0,0,0,0,0,0,0,0,0.4,6.12,6.12,6.13,0.61,0.61,0.61,0.55,0.49,0.36
9/11/2010 14:00,0,0,0,6.12,0.61,0.49,,0,0,0,0,0,0,0,0,0.4,0,6.12,6.13,6.13,0.61,0.61,0.61,0.49,0.36,0.16
9/11/2010 15:00,0,0,0.4,6.13,0.61,0.36,,0,0,0,0,0,0,0,0.4,0,0,6.13,6.13,6.14,0.61,0.61,0.61,0.36,0.16,-0.07
9/11/2010 16:00,0,0,0,6.13,0.61,0.16,,0,0,0,0,0,0,0,0,0,0,6.13,6.14,6.14,0.61,0.61,0.61,0.16,-0.07,-0.24
9/11/2010 17:00,0,0,0,6.14,0.61,-0.07,,0,0,0,0,0,0,0,0,0,0,6.14,6.14,6.14,0.61,0.61,0.61,-0.07,-0.24,-0.34
9/11/2010 18:00,0,0,0,6.14,0.61,-0.24,,0,0,0,0,0,0,0,0,0,0,6.14,6.14,6.14,0.61,0.61,0.61,-0.24,-0.34,-0.37
9/11/2010 19:00,0,0,0,6.14,0.61,-0.34,,0,0,0,0,0,0,0,0,0,0,6.14,6.14,6.14,0.61,0.61,0.61,-0.34,-0.37,-0.32
9/11/2010 20:00,0,0,0,6.14,0.61,-0.37,,0,0,0,0,0,0,0,0,0,0,6.14,6.14,6.13,0.61,0.61,0.61,-0.37,-0.32,-0.17
9/11/2010 21:00,0,0,0,6.14,0.61,-0.32,,0,0,0,0,0,0,0,0,0,0,6.14,6.13,6.13,0.61,0.61,0.61,-0.32,-0.17,0.07
9/11/2010 22:00,0,0,0,6.13,0.61,-0.17,,0,0,0,0,0,0,0,0,0,0,6.13,6.13,6.12,0.61,0.61,0.6,-0.17,0.07,0.25
9/11/2010 23:00,0,0,0,6.13,0.61,0.07,,0,0,0,0,0,0,0,0,0,0,6.13,6.12,6.12,0.61,0.6,0.6,0.07,0.25,0.42
10/11/2010 0:00,0,0,0,6.12,0.6,0.25,,0,0,0,0,0,0,0,0,0,0,6.12,6.12,6.12,0.6,0.6,0.6,0.25,0.42,0.6
10/11/2010 1:00,0,0,0,6.12,0.6,0.42,,0,0,0,0,0,0,0,0,0,0,6.12,6.12,6.11,0.6,0.6,0.59,0.42,0.6,0.77
10/11/2010 2:00,0,0,0,6.12,0.6,0.6,,0,0,0,0,0,0,0,0,0,0,6.12,6.11,6.11,0.6,0.59,0.59,0.6,0.77,0.85
10/11/2010 3:00,0,0,0,6.11,0.59,0.77,,0,0,0,0,0,0,0,0,0,0,6.11,6.11,6.11,0.59,0.59,0.58,0.77,0.85,0.86
10/11/2010 4:00,0,0,0,6.11,0.59,0.85,,0,0,0,0,0,0,0,0,0,0,6.11,6.11,6.11,0.59,0.58,0.58,0.85,0.86,0.79
10/11/2010 5:00,0,0,0,6.11,0.58,0.86,,0,0,0,0,0,0,0,0,0,0,6.11,6.11,6.11,0.58,0.58,0.58,0.86,0.79,0.7
10/11/2010 6:00,0,0,0,6.11,0.58,0.79,,0,0,0,0,0,0,0,0,0,0,6.11,6.11,6.11,0.58,0.58,0.58,0.79,0.7,0.6
10/11/2010 7:00,0,0,0,6.11,0.58,0.7,,0,0,0,0,0,0,0,0,0,0,6.11,6.11,6.11,0.58,0.58,0.58,0.7,0.6,0.54
10/11/2010 8:00,0,0,0,6.11,0.58,0.6,,0,0,0,0,0,0,0,0,0,0,6.11,6.11,6.1,0.58,0.58,0.59,0.6,0.54,0.54
10/11/2010 9:00,0,0,0,6.11,0.58,0.54,,0,0,0,0,0,0,0,0,0,0,6.11,6.1,6.1,0.58,0.59,0.59,0.54,0.54,0.55
10/11/2010 10:00,0,0,0,6.1,0.59,0.54,,0,0,0,0,0,0,0,0,0,0,6.1,6.1,6.1,0.59,0.59,0.6,0.54,0.55,0.58
10/11/2010 11:00,0,0,0,6.1,0.59,0.55,,0,0,0,0,0,0,0,0,0,0,6.1,6.1,6.1,0.59,0.6,0.6,0.55,0.58,0.58
10/11/2010 12:00,0,0,0,6.1,0.6,0.58,,0,0,0,0,0,0,0,0,0,0,6.1,6.1,6.1,0.6,0.6,0.6,0.58,0.58,0.55
10/11/2010 13:00,0,0,0,6.1,0.6,0.58,,0,0,0,0,0,0,0,0,0,0,6.1,6.1,6.1,0.6,0.6,0.61,0.58,0.55,0.46
10/11/2010 14:00,0,0,0,6.1,0.6,0.55,,0,0,0,0,0,0,0,0,0,0,6.1,6.1,6.1,0.6,0.61,0.61,0.55,0.46,0.32
10/11/2010 15:00,0,0,0,6.1,0.61,0.46,,0,0,0,0,0,0,0,0,0,0,6.1,6.1,6.1,0.61,0.61,0.61,0.46,0.32,0.13
10/11/2010 16:00,0,0,0,6.1,0.61,0.32,,0,0,0,0,0,0,0,0,0,0,6.1,6.1,6.1,0.61,0.61,0.61,0.32,0.13,-0.07
10/11/2010 17:00,0,0,0,6.1,0.61,0.13,,0,0,0,0,0,0,0,0,0,0,6.1,6.1,6.1,0.61,0.61,0.61,0.13,-0.07,-0.23
10/11/2010 18:00,0,0,0,6.1,0.61,-0.07,,0,0,0,0,0,0,0,0,0,0,6.1,6.1,6.1,0.61,0.61,0.61,-0.07,-0.23,-0.29
10/11/2010 19:00,0,0,0,6.1,0.61,-0.23,,0,0,0,0,0,0,0,0,0,0,6.1,6.1,6.1,0.61,0.61,0.61,-0.23,-0.29,-0.29
10/11/2010 20:00,0,0,0,6.1,0.61,-0.29,,0,0,0,0,0,0,0,0,0,0,6.1,6.1,6.1,0.61,0.61,0.6,-0.29,-0.29,-0.23
10/11/2010 21:00,0,0,0,6.1,0.61,-0.29,,0,0,0,0,0,0,0,0,0,0,6.1,6.1,6.1,0.61,0.6,0.6,-0.29,-0.23,-0.09
10/11/2010 22:00,0,0,0,6.1,0.6,-0.23,,0,0,0,0,0,0,0,0,0,0,6.1,6.1,6.1,0.6,0.6,0.6,-0.23,-0.09,0.07
10/11/2010 23:00,0,0,0,6.1,0.6,-0.09,,0,0,0,0,0,0,0,0,0,0,6.1,6.1,6.1,0.6,0.6,0.59,-0.09,0.07,0.22
11/11/2010 0:00,0,0,0,6.1,0.6,0.07,,0,0,0,0,0,0,0,0,0,0,6.1,6.1,6.1,0.6,0.59,0.58,0.07,0.22,0.38
11/11/2010 1:00,0,0,0,6.1,0.59,0.22,,0,0,0,0,0,0,0,0,0,0,6.1,6.1,6.1,0.59,0.58,0.58,0.22,0.38,0.56
11/11/2010 2:00,0,0,0,6.1,0.58,0.38,,0,0,0,0,0,0,0,0,0,0,6.1,6.1,6.1,0.58,0.58,0.57,0.38,0.56,0.7
11/11/2010 3:00,0,0,0,6.1,0.58,0.56,,0,0,0,0,0,0,0,0,0,0,6.1,6.1,6.1,0.58,0.57,0.56,0.56,0.7,0.77
11/11/2010 4:00,0,0,0,6.1,0.57,0.7,,0,0,0,0,0,0,0,0,0,0,6.1,6.1,6.1,0.57,0.56,0.56,0.7,0.77,0.74
11/11/2010 5:00,0,0,0,6.1,0.56,0.77,,0,0,0,0,0,0,0,0,0,0,6.1,6.1,6.1,0.56,0.56,0.56,0.77,0.74,0.7
11/11/2010 6:00,0,0,0,6.1,0.56,0.74,,0,0,0,0,0,0,0,0,0,0,6.1,6.1,6.1,0.56,0.56,0.56,0.74,0.7,0.62
11/11/2010 7:00,0,0,0,6.1,0.56,0.7,,0,0,0,0,0,0,0,0,0,0,6.1,6.1,6.1,0.56,0.56,0.57,0.7,0.62,0.56
11/11/2010 8:00,0,0,0,6.1,0.56,0.62,,0,0,0,0,0,0,0,0,0,0,6.1,6.1,6.1,0.56,0.57,0.58,0.62,0.56,0.5
11/11/2010 9:00,0,0,0,6.1,0.57,0.56,,0,0,0,0,0,0,0,0,0,0,6.1,6.1,6.1,0.57,0.58,0.58,0.56,0.5,0.5
11/11/2010 10:00,0,0,0,6.1,0.58,0.5,,0,0,0,0,0,0,0,0,0,0,6.1,6.1,6.1,0.58,0.58,0.59,0.5,0.5,0.51
11/11/2010 11:00,0,0,0,6.1,0.58,0.5,,0,0,0,0,0,0,0,0,0,0,6.1,6.1,6.1,0.58,0.59,0.59,0.5,0.51,0.52
11/11/2010 12:00,0,0,0,6.1,0.59,0.51,,0,0,0,0,0,0,0,0,0,0,6.1,6.1,6.1,0.59,0.59,0.59,0.51,0.52,0.51
11/11/2010 13:00,0,0,0,6.1,0.59,0.52,,0,0,0,0,0,0,0,0,0,0,6.1,6.1,6.1,0.59,0.59,0.58,0.52,0.51,0.46
11/11/2010 14:00,0,0,0,6.1,0.59,0.51,,0,0,0,0,0,0,0,0,0,0,6.1,6.1,6.09,0.59,0.58,0.58,0.51,0.46,0.33
11/11/2010 15:00,0,0,0,6.1,0.58,0.46,,0,0,0,0,0,0,0,0,0,0,6.1,6.09,6.09,0.58,0.58,0.57,0.46,0.33,0.2
11/11/2010 16:00,0,0,0,6.09,0.58,0.33,,0,0,0,0,0,0,0,0,0,0,6.09,6.09,6.09,0.58,0.57,0.56,0.33,0.2,-0.01
11/11/2010 17:00,0,0,0,6.09,0.57,0.2,,0,0,0,0,0,0,0,0,0,0,6.09,6.09,6.09,0.57,0.56,0.55,0.2,-0.01,-0.18
11/11/2010 18:00,0,0,0,6.09,0.56,-0.01,,0,0,0,0,0,0,0,0,0,0,6.09,6.09,6.09,0.56,0.55,0.54,-0.01,-0.18,-0.3
11/11/2010 19:00,0,0,0,6.09,0.55,-0.18,,0,0,0,0,0,0,0,0,0,0,6.09,6.09,6.09,0.55,0.54,0.54,-0.18,-0.3,-0.37
11/11/2010 20:00,0,0,0,6.09,0.54,-0.3,,0,0,0,0,0,0,0,0,0,0,6.09,6.09,6.09,0.54,0.54,0.54,-0.3,-0.37,-0.37
11/11/2010 21:00,0,0,0,6.09,0.54,-0.37,,0,0,0,0,0,0,0,0,0,0,6.09,6.09,6.09,0.54,0.54,0.53,-0.37,-0.37,-0.29
11/11/2010 22:00,0,0,0,6.09,0.54,-0.37,,0,0,0,0,0,0,0,0,0,0,6.09,6.09,6.09,0.54,0.53,0.53,-0.37,-0.29,-0.19
11/11/2010 23:00,0,0,0,6.09,0.53,-0.29,,0,0,0,0,0,0,0,0,0,0,6.09,6.09,6.09,0.53,0.53,0.53,-0.29,-0.19,-0.04
12/11/2010 0:00,0,0,0,6.09,0.53,-0.19,,0,0,0,0,0,0,0,0,0,0,6.09,6.09,6.09,0.53,0.53,0.53,-0.19,-0.04,0.09
