Ghi chu:,Water Level (m)- Muc nuoc; Rainfall (mm)-Luong mua; ,,,,,
5/12/2010 13:00,0,0,0,6.23,0.36,0.19
5/12/2010 14:00,0,0,0,6.23,0.36,-0.04
5/12/2010 15:00,0,0,0,6.23,0.36,-0.25
5/12/2010 16:00,0,0,0,6.22,0.36,-0.35
5/12/2010 17:00,0,0,0,6.22,0.36,-0.39
5/12/2010 18:00,0,0,0,6.21,0.36,-0.35
5/12/2010 19:00,0,0,0,6.21,0.36,-0.26
5/12/2010 20:00,0,0,0,6.21,0.36,-0.11
5/12/2010 21:00,0.4,0,0,6.21,0.36,0.08
5/12/2010 22:00,0.2,0.4,0,6.21,0.36,0.3
5/12/2010 23:00,0.2,1,0,6.21,0.36,0.44
6/12/2010 0:00,0,0,0,6.21,0.35,0.61
6/12/2010 1:00,0,0,0,6.21,0.35,0.71
6/12/2010 2:00,0.2,0.2,0,6.21,0.35,0.75
6/12/2010 3:00,0.4,1.2,0,6.21,0.34,0.66
6/12/2010 4:00,1.4,0.4,0,6.2,0.34,0.54
6/12/2010 5:00,0.2,1,0,6.2,0.34,0.4
6/12/2010 6:00,0.4,0.2,0,6.2,0.33,0.29
6/12/2010 7:00,0.2,0.2,0,6.2,0.33,0.25
6/12/2010 8:00,0,0,0,6.2,0.33,0.26
6/12/2010 9:00,0,0,0,6.21,0.33,0.28
6/12/2010 10:00,0,0,0,6.21,0.33,0.3
6/12/2010 11:00,0,0,0,6.22,0.33,0.31
6/12/2010 12:00,0,0,0,6.22,0.33,0.23
6/12/2010 13:00,0,0.2,0,6.22,0.33,0.12
6/12/2010 14:00,1.4,0.2,0,6.22,0.33,-0.08
6/12/2010 15:00,0,0.2,0,6.21,0.33,-0.31
6/12/2010 16:00,2,0.4,0,6.21,0.33,-0.47
6/12/2010 17:00,0,0,0,6.21,0.33,-0.55
6/12/2010 18:00,0,0,0.8,6.23,0.33,-0.59
6/12/2010 19:00,0,0,3,6.25,0.33,-0.55
6/12/2010 20:00,0,0,0.2,6.29,0.33,-0.43
6/12/2010 21:00,0,0,0,6.33,0.33,-0.25
6/12/2010 22:00,0,0,20.2,6.37,0.33,-0.08
6/12/2010 23:00,0.2,0,7.2,6.38,0.33,0.15
7/12/2010 0:00,3.4,0,0,6.37,0.33,0.33
7/12/2010 1:00,0.6,6,0,6.31,0.34,0.48
7/12/2010 2:00,0.4,17.8,0,6.21,0.35,0.6
7/12/2010 3:00,2,27.2,0,6.09,0.36,0.64
7/12/2010 4:00,1.4,9.8,0.2,6.01,0.36,0.61
7/12/2010 5:00,2.2,6.8,0,6,0.37,0.53
7/12/2010 6:00,9.2,16.2,0,6.1,0.38,0.41
7/12/2010 7:00,5.2,4.8,0.6,6.36,0.38,0.34
7/12/2010 8:00,1.4,3,0.2,6.81,0.38,0.34
7/12/2010 9:00,0.2,2.2,0,7.47,0.4,0.36
7/12/2010 10:00,2.4,0.6,0,8.11,0.45,0.38
7/12/2010 11:00,0.8,0,0,8.02,0.54,0.39
7/12/2010 12:00,0.2,0.2,0,7.87,0.62,0.39
7/12/2010 13:00,0,0.2,0,7.72,0.68,0.29
7/12/2010 14:00,1,0.2,0,7.58,0.69,0.16
7/12/2010 15:00,0.2,6.2,0,7.46,0.69,-0.01
7/12/2010 16:00,0.2,0.6,0,7.35,0.68,-0.18
7/12/2010 17:00,4.2,3.4,0,7.27,0.67,-0.28
7/12/2010 18:00,1.6,0.2,0,7.2,0.67,-0.32
7/12/2010 19:00,0.2,0,0,7.22,0.66,-0.32
7/12/2010 20:00,0,0,0,7.27,0.65,-0.26
7/12/2010 21:00,0,0,0,7.33,0.65,-0.15
7/12/2010 22:00,0,0,0,7.39,0.66,0.02
7/12/2010 23:00,0,0,0,7.36,0.66,0.19
8/12/2010 0:00,0,0,0,7.32,0.66,0.33
8/12/2010 1:00,0,0,0,7.3,0.66,0.47
8/12/2010 2:00,0.2,0,0,7.27,0.66,0.61
8/12/2010 3:00,1.6,0,0,7.24,0.66,0.66
8/12/2010 4:00,1,0,0,7.21,0.67,0.65
8/12/2010 5:00,0.8,0.4,0.4,7.17,0.67,0.62
8/12/2010 6:00,0.6,1.2,0.2,7.13,0.67,0.53
8/12/2010 7:00,0.2,0.8,0,7.1,0.67,0.45
8/12/2010 8:00,0,0.2,0,7.08,0.67,0.37
8/12/2010 9:00,0,0,0.2,7.05,0.67,0.39
8/12/2010 10:00,0,0,0,7.03,0.67,0.42
8/12/2010 11:00,0,0,0,7,0.66,0.43
8/12/2010 12:00,0,0,0,6.96,0.66,0.4
8/12/2010 13:00,0,0,0,6.92,0.66,0.31
8/12/2010 14:00,0,0,0,6.88,0.66,0.26
8/12/2010 15:00,0,0,0,6.85,0.66,0.14
8/12/2010 16:00,0,0,0,6.83,0.65,-0.05
8/12/2010 17:00,0,0,0,6.81,0.65,-0.25
8/12/2010 18:00,0,0,0,6.8,0.65,-0.38
8/12/2010 19:00,0,0,0,6.78,0.65,-0.43
8/12/2010 20:00,0,0,0,6.76,0.65,-0.42
8/12/2010 21:00,0,0,0,6.74,0.65,-0.35
8/12/2010 22:00,0,0,0,6.72,0.64,-0.23
8/12/2010 23:00,0,0,0,6.7,0.64,-0.02
9/12/2010 0:00,0,0,0,6.69,0.64,0.15
9/12/2010 1:00,0,0,0,6.68,0.64,0.28
9/12/2010 2:00,0,0,0,6.67,0.64,0.42
9/12/2010 3:00,0,0,0,6.65,0.64,0.57
9/12/2010 4:00,0,0,0,6.63,0.64,0.61
9/12/2010 5:00,0,0,0,6.62,0.63,0.55
9/12/2010 6:00,0,0,0,6.6,0.63,0.53
9/12/2010 7:00,0,0,0,6.59,0.63,0.47
9/12/2010 8:00,0,0,0,6.58,0.63,0.41
9/12/2010 9:00,0,0,0,6.57,0.62,0.36
9/12/2010 10:00,0,0,0,6.56,0.62,0.33
9/12/2010 11:00,0,0,0,6.56,0.62,0.36
9/12/2010 12:00,0,0,0,6.55,0.61,0.37
9/12/2010 13:00,0,0,0,6.54,0.61,0.32
9/12/2010 14:00,0,0,0,6.53,0.61,0.25
9/12/2010 15:00,0,0,0,6.52,0.61,0.16
9/12/2010 16:00,0,0,0,6.51,0.6,-0.01
9/12/2010 17:00,0,0,0,6.5,0.6,-0.2
9/12/2010 18:00,0,0,0,6.49,0.6,-0.39
9/12/2010 19:00,0,0,0,6.48,0.6,-0.52
9/12/2010 20:00,0,0,0,6.47,0.6,-0.56
9/12/2010 21:00,0,0,0,6.46,0.59,-0.55
9/12/2010 22:00,0,0,0,6.46,0.59,-0.48
9/12/2010 23:00,0,0,0,6.45,0.59,-0.31
10/12/2010 0:00,0,0,0,6.45,0.58,-0.12
10/12/2010 1:00,0,0,0,6.44,0.58,0.03
10/12/2010 2:00,0,0,0,6.44,0.58,0.17
10/12/2010 3:00,0,0,0,6.43,0.57,0.31
10/12/2010 4:00,0,0,0,6.43,0.57,0.45
10/12/2010 5:00,0.2,0,0,6.42,0.57,0.47
10/12/2010 6:00,0,0,0,6.42,0.56,0.44
10/12/2010 7:00,0,0,0,6.41,0.56,0.4
10/12/2010 8:00,0,0,0,6.4,0.56,0.35
10/12/2010 9:00,0,0,0,6.4,0.55,0.3
10/12/2010 10:00,0,0,0,6.39,0.55,0.26
10/12/2010 11:00,0,0,0,6.38,0.55,0.28
10/12/2010 12:00,0,0,0,6.37,0.54,0.31
10/12/2010 13:00,0,0,0,6.36,0.54,0.33
10/12/2010 14:00,0,0,0,6.35,0.54,0.28
10/12/2010 15:00,0,0,0,6.34,0.54,0.2
10/12/2010 16:00,0,0,0,6.34,0.53,0.1
10/12/2010 17:00,0,0,0,6.33,0.53,-0.04
10/12/2010 18:00,0,0,0,6.32,0.53,-0.25
10/12/2010 19:00,0,0,0,6.32,0.53,-0.42
10/12/2010 20:00,0,0,0,6.32,0.53,-0.46
10/12/2010 21:00,0,0,0,6.32,0.53,-0.5
10/12/2010 22:00,0,0,0,6.31,0.52,-0.49
10/12/2010 23:00,0,0,0,6.31,0.52,-0.39
11/12/2010 0:00,0,0,0,6.31,0.51,-0.25
11/12/2010 1:00,0,0,0,6.31,0.51,-0.09
11/12/2010 2:00,0,0,0,6.31,0.51,0.08
11/12/2010 3:00,0,0,0,6.3,0.5,0.24
11/12/2010 4:00,0,0,0,6.3,0.49,0.4
11/12/2010 5:00,0.2,0,0,6.3,0.49,0.51
11/12/2010 6:00,0,0,0,6.29,0.48,0.49
11/12/2010 7:00,0,0,0,6.29,0.48,0.42
11/12/2010 8:00,0,0,0,6.29,0.48,0.37
11/12/2010 9:00,0,0,0,6.28,0.47,0.33
11/12/2010 10:00,0,0,0,6.28,0.47,0.34
11/12/2010 11:00,0,0,0,6.28,0.46,0.33
11/12/2010 12:00,0,0,0,6.28,0.46,0.34
11/12/2010 13:00,0,0,0,6.28,0.46,0.36
11/12/2010 14:00,0,0,0,6.28,0.46,0.36
11/12/2010 15:00,0,0,0,6.28,0.46,0.33
11/12/2010 16:00,0,0,0,6.28,0.46,0.21
11/12/2010 17:00,0,0,0,6.28,0.45,0.1
11/12/2010 18:00,0,0,0,6.28,0.45,-0.07
11/12/2010 19:00,0,0,0,6.28,0.45,-0.24
11/12/2010 20:00,0,0,0,6.28,0.45,-0.34
11/12/2010 21:00,0,0,0,6.27,0.44,-0.39
11/12/2010 22:00,0,0,0,6.27,0.44,-0.41
11/12/2010 23:00,0,0,0,6.27,0.44,-0.36
12/12/2010 0:00,0,0,0,6.26,0.43,-0.25
12/12/2010 1:00,0,0,0,6.26,0.43,-0.16
12/12/2010 2:00,0,0,0,6.26,0.43,-0.03
12/12/2010 3:00,0,0,0,6.26,0.42,0.09
12/12/2010 4:00,0,0,0,6.25,0.42,0.2
12/12/2010 5:00,0,0,0,6.25,0.42,0.32
12/12/2010 6:00,0,0,0,6.25,0.41,0.37
12/12/2010 7:00,0,0,0,6.25,0.41,0.35
12/12/2010 8:00,0,0,0,6.25,0.41,0.38
12/12/2010 9:00,0,0,0,6.25,0.41,0.33
12/12/2010 10:00,0,0,0,6.25,0.41,0.28
12/12/2010 11:00,0,0,0,6.24,0.4,0.25
12/12/2010 12:00,0,0,0,6.24,0.4,0.27
12/12/2010 13:00,0,0,0,6.24,0.4,0.3
12/12/2010 14:00,0,0,0,6.24,0.4,0.31
12/12/2010 15:00,0,0,0,6.24,0.39,0.35
12/12/2010 16:00,0,0,0,6.23,0.39,0.33
12/12/2010 17:00,0,0,0,6.23,0.39,0.24
12/12/2010 18:00,0,0,0,6.23,0.38,0.14
12/12/2010 19:00,0,0,0,6.23,0.38,-0.04
12/12/2010 20:00,0,0,0,6.23,0.38,-0.18
12/12/2010 21:00,0,0,0,6.23,0.37,-0.27
12/12/2010 22:00,0,0,0,6.22,0.37,-0.32
12/12/2010 23:00,0,0,0,6.22,0.37,-0.32
13/12/2010 00:00,0,0,0,6.22,0.36,-0.25
13/12/2010 01:00,0,0,0,6.22,0.36,-0.18
13/12/2010 02:00,0,0,0,6.22,0.36,-0.06
13/12/2010 03:00,0,0,0,6.22,0.35,0.05
13/12/2010 04:00,0,0,0,6.22,0.35,0.15
13/12/2010 05:00,0,0,0,6.21,0.35,0.3
13/12/2010 06:00,0,0.2,0,6.21,0.34,0.35
13/12/2010 07:00,0,0,0,6.21,0.34,0.37
13/12/2010 08:00,0,0,0,6.21,0.34,0.35
13/12/2010 09:00,0,0,0,6.2,0.34,0.3
13/12/2010 10:00,0,0,0,6.2,0.34,0.21
13/12/2010 11:00,0,0,0,6.2,0.33,0.21
13/12/2010 12:00,0,0,0,6.19,0.33,0.15
13/12/2010 13:00,0,0,0,6.19,0.33,0.18
13/12/2010 14:00,0,0,0,6.19,0.33,0.2
13/12/2010 15:00,0,0,0,6.19,0.32,0.24
13/12/2010 16:00,0,0,0,6.18,0.32,0.24
13/12/2010 17:00,0,0,0,6.18,0.32,0.23
13/12/2010 18:00,0,0,0,6.18,0.31,0.17
13/12/2010 19:00,0,0,0,6.18,0.31,0.05
13/12/2010 20:00,0,0,0,6.18,0.31,-0.08
13/12/2010 21:00,0,0,0,6.18,0.31,-0.18
13/12/2010 22:00,0,0,0,6.17,0.3,-0.28
13/12/2010 23:00,0,0,0,6.17,0.3,-0.29
14/12/2010 00:00,0,0,0,6.17,0.3,-0.25
14/12/2010 01:00,0,0,0,6.17,0.3,-0.21
14/12/2010 02:00,0,0,0,6.17,0.3,-0.12
14/12/2010 03:00,0,0,0,6.17,0.3,-0.02
14/12/2010 04:00,0,0,0,6.17,0.3,0.1
14/12/2010 05:00,0,0,0,6.17,0.29,0.18
14/12/2010 06:00,0,0,0,6.17,0.29,0.27
14/12/2010 07:00,0,0,0,6.17,0.29,0.31
14/12/2010 08:00,0,0,0,6.17,0.29,0.31
14/12/2010 09:00,0,0,0,6.17,0.29,0.28
14/12/2010 10:00,0,0,0,6.17,0.28,0.21
14/12/2010 11:00,0,0,0,6.16,0.28,0.15
14/12/2010 12:00,0,0,0,6.16,0.28,0.09
14/12/2010 13:00,0,0,0,6.16,0.28,0.07
14/12/2010 14:00,0,0,0,6.16,0.28,0.06
14/12/2010 15:00,0,0,0,6.16,0.28,0.09
14/12/2010 16:00,0,0,0,6.15,0.28,0.12
14/12/2010 17:00,0,0,0,6.15,0.27,0.16
14/12/2010 18:00,0,0,0,6.15,0.27,0.12
14/12/2010 19:00,0,0,0,6.15,0.27,0.07
14/12/2010 20:00,0,0,0,6.15,0.27,0
14/12/2010 21:00,0,0,0,6.15,0.26,-0.1
14/12/2010 22:00,0,0,0,6.15,0.26,-0.16
14/12/2010 23:00,0,0,0,6.15,0.26,-0.22
15/12/2010 00:00,0,0,0,6.15,0.25,-0.25
15/12/2010 01:00,0,0,0,6.15,0.25,-0.25
15/12/2010 02:00,0,0,0,6.15,0.25,-0.21
15/12/2010 03:00,0,0,0,6.15,0.24,-0.11
15/12/2010 04:00,0,0,1.6,6.15,0.24,-0.02
15/12/2010 05:00,0,0,0.2,6.15,0.24,0.09
15/12/2010 06:00,0,0,0,6.15,0.23,0.13
15/12/2010 07:00,0,0,0,6.15,0.23,0.21
15/12/2010 08:00,0,0,0,6.15,0.23,0.22
15/12/2010 09:00,0,0,0,6.15,0.22,0.23
15/12/2010 10:00,0,0,0,6.15,0.22,0.19
15/12/2010 11:00,0,0,0,6.15,0.22,0.12
15/12/2010 12:00,0,0,0,6.14,0.21,0.05
15/12/2010 13:00,0,0,0,6.14,0.21,0.01
15/12/2010 14:00,0,0,0,6.14,0.21,0.01
15/12/2010 15:00,0,0,0,6.13,0.2,0.04
15/12/2010 16:00,2.2,0,0,6.13,0.2,0.07
15/12/2010 17:00,0.2,0,0,6.13,0.2,0.12
15/12/2010 18:00,0,0,0,6.13,0.2,0.19
15/12/2010 19:00,0,0,0,6.14,0.2,0.21
15/12/2010 20:00,0,0,0,6.15,0.2,0.21
15/12/2010 21:00,0,0,0,6.16,0.2,0.15
15/12/2010 22:00,0,0,0,6.18,0.2,0.13
15/12/2010 23:00,0,0,0,6.2,0.21,0.1
16/12/2010 00:00,0,0,0,6.21,0.21,0.09
16/12/2010 01:00,0,0,3.6,6.23,0.21,0.09
16/12/2010 02:00,9.6,1.4,3,6.24,0.21,0.21
16/12/2010 03:00,15.2,6,11,6.25,0.22,0.27
16/12/2010 04:00,3.2,2.8,1.2,6.26,0.22,0.32
16/12/2010 05:00,2,0.2,0.4,6.27,0.22,0.49
16/12/2010 06:00,0.8,0.2,0,6.27,0.23,0.64
16/12/2010 07:00,0.4,0.2,0,6.28,0.23,0.7
16/12/2010 08:00,0.2,0,0,6.29,0.24,0.77
16/12/2010 09:00,0,0,0,6.3,0.24,0.73
16/12/2010 10:00,2.4,0.6,0,6.31,0.25,0.7
16/12/2010 11:00,0.2,0.2,0.2,6.32,0.26,0.6
16/12/2010 12:00,0,0,0,6.32,0.26,0.43
16/12/2010 13:00,0,0,0,6.33,0.27,0.3
16/12/2010 14:00,0.2,0,0,6.34,0.28,0.17
16/12/2010 15:00,0,0,0,6.35,0.28,0.1
16/12/2010 16:00,0,0,0,6.36,0.29,0.13
16/12/2010 17:00,0,0,0,6.35,0.29,0.16
16/12/2010 18:00,0,0,0,6.34,0.3,0.26
16/12/2010 19:00,0,0,0.2,6.33,0.3,0.3
16/12/2010 20:00,0,0,0,6.32,0.3,0.37
16/12/2010 21:00,0,0,0,6.32,0.3,0.43
16/12/2010 22:00,0,0,0,6.32,0.31,0.47
16/12/2010 23:00,0,0,0,6.32,0.31,0.44
17/12/2010 00:00,0,0,0,6.31,0.31,0.45
17/12/2010 01:00,0,0,0,6.3,0.31,0.39
17/12/2010 02:00,0,0,0,6.29,0.31,0.37
17/12/2010 03:00,0,0,0,6.28,0.3,0.37
17/12/2010 04:00,0,0,0,6.28,0.3,0.37
17/12/2010 05:00,0,0,0,6.27,0.3,0.44
17/12/2010 06:00,0,0,0,6.27,0.3,0.49
17/12/2010 07:00,0,0,0,6.26,0.3,0.52
17/12/2010 08:00,0,0,0,6.25,0.3,0.57
17/12/2010 09:00,0,0,0,6.25,0.3,0.55
17/12/2010 10:00,0,0,0,6.24,0.3,0.53
17/12/2010 11:00,0,0,0,6.24,0.3,0.42
17/12/2010 12:00,0,0,0,6.23,0.3,0.29
17/12/2010 13:00,0,0,0,6.23,0.3,0.11
17/12/2010 14:00,0,0,0,6.22,0.29,-0.03
17/12/2010 15:00,0,0,0,6.22,0.29,-0.08
17/12/2010 16:00,0,0,0,6.21,0.29,-0.11
17/12/2010 17:00,0,0,0,6.21,0.29,-0.1
17/12/2010 18:00,0,0,0,6.2,0.29,-0.03
17/12/2010 19:00,0,0,0,6.2,0.29,0.06
17/12/2010 20:00,0,0,0,6.2,0.29,0.14
17/12/2010 21:00,0,0,0,6.19,0.29,0.24
17/12/2010 22:00,0,0,0,6.19,0.29,0.3
17/12/2010 23:00,0,0,0,6.19,0.28,0.34
18/12/2010 00:00,0,0,0,6.18,0.28,0.34
18/12/2010 01:00,0,0,0,6.18,0.28,0.31
18/12/2010 02:00,0,0,0,6.18,0.28,0.27
18/12/2010 03:00,0,0,0,6.17,0.28,0.23
18/12/2010 04:00,0,0,0,6.17,0.28,0.2
18/12/2010 05:00,0,0,0,6.17,0.27,0.19
18/12/2010 06:00,0,0,0,6.16,0.27,0.23
18/12/2010 07:00,0,0,0,6.16,0.27,0.28
18/12/2010 08:00,0,0,0,6.16,0.27,0.29
18/12/2010 09:00,0,0,0,6.16,0.27,0.32
18/12/2010 10:00,0,0,0,6.15,0.27,0.27
18/12/2010 11:00,0,0,0,6.15,0.26,0.2
18/12/2010 12:00,0,0,0,6.15,0.26,0.07
18/12/2010 13:00,0,0,0,6.15,0.26,-0.08
18/12/2010 14:00,0,0,0,6.15,0.26,-0.22
18/12/2010 15:00,0,0,0,6.15,0.26,-0.28
18/12/2010 16:00,0,0,0,6.15,0.26,-0.29
18/12/2010 17:00,0,0,0,6.15,0.25,-0.27
18/12/2010 18:00,0,0,0,6.15,0.25,-0.17
18/12/2010 19:00,0,0,0,6.15,0.25,-0.07
18/12/2010 20:00,0,0,0,6.15,0.25,0.08
18/12/2010 21:00,0,0,0,6.15,0.25,0.23
18/12/2010 22:00,0,0,0,6.15,0.24,0.32
18/12/2010 23:00,0,0,0,6.15,0.24,0.43
19/12/2010 00:00,0,0,0,6.14,0.24,0.45
19/12/2010 01:00,0,0,0,6.14,0.23,0.45
19/12/2010 02:00,0,0,0,6.14,0.23,0.39
19/12/2010 03:00,0,0,0,6.13,0.23,0.32
19/12/2010 04:00,0,0,0,6.13,0.23,0.26
19/12/2010 05:00,0,0,0,6.13,0.22,0.23
19/12/2010 06:00,0.2,0,0,6.12,0.22,0.18
19/12/2010 07:00,0,0,0,6.12,0.22,0.2
19/12/2010 08:00,0,0,0,6.12,0.22,0.23
19/12/2010 09:00,0,0,0,6.12,0.22,0.23
19/12/2010 10:00,0,0,0,6.11,0.21,0.2
19/12/2010 11:00,0,0,0,6.11,0.21,0.11
19/12/2010 12:00,0,0,0,6.11,0.21,-0.01
19/12/2010 13:00,0,0,0,6.11,0.21,-0.18
19/12/2010 14:00,0,0,0,6.11,0.21,-0.34
19/12/2010 15:00,0,0,0,6.11,0.21,-0.43
19/12/2010 16:00,0,0,0,6.1,0.21,-0.46
19/12/2010 17:00,0,0,0,6.1,0.2,-0.45
19/12/2010 18:00,0,0,0,6.1,0.2,-0.37
19/12/2010 19:00,0,0,0,6.1,0.2,-0.26
19/12/2010 20:00,0,0,0,6.1,0.2,-0.11
19/12/2010 21:00,0,0,0,6.1,0.2,0.05
19/12/2010 22:00,0,0,0,6.1,0.19,0.2
19/12/2010 23:00,0,0,0,6.1,0.19,0.32
20/12/2010 00:00,0,0,0,6.1,0.19,0.44
20/12/2010 01:00,0,0,0,6.1,0.18,0.45
20/12/2010 02:00,0,0,0,6.1,0.18,0.41
20/12/2010 03:00,0,0,0,6.1,0.18,0.36
20/12/2010 04:00,0,0,0,6.1,0.18,0.3
20/12/2010 05:00,0,0,0,6.1,0.17,0.22
20/12/2010 06:00,0,0,0,6.1,0.17,0.2
20/12/2010 07:00,0,0,0,6.1,0.17,0.19
20/12/2010 08:00,0,0,0,6.1,0.17,0.22
20/12/2010 09:00,0,0,0,6.1,0.17,0.2
20/12/2010 10:00,0,0,0,6.1,0.17,0.18
20/12/2010 11:00,0,0,0,6.09,0.17,0.09
20/12/2010 12:00,0,0,0,6.09,0.17,-0.02
20/12/2010 13:00,0,0,0,6.09,0.16,-0.18
20/12/2010 14:00,0,0,0,6.09,0.16,-0.38
20/12/2010 15:00,0.2,0,0,6.09,0.16,-0.51
20/12/2010 16:00,0,0,0,6.08,0.16,-0.58
20/12/2010 17:00,0,0,0,6.08,0.16,-0.58
20/12/2010 18:00,0,0,0,6.08,0.16,-0.5
20/12/2010 19:00,0,0,0,6.08,0.16,-0.42
20/12/2010 20:00,0,0,0,6.08,0.16,-0.27
20/12/2010 21:00,0,0,0,6.08,0.16,-0.1
20/12/2010 22:00,0,0,0,6.08,0.15,0.09
20/12/2010 23:00,0,0,0,6.08,0.15,0.24
21/12/2010 00:00,0,0,0,6.08,0.15,0.38
21/12/2010 01:00,0,0,0,6.08,0.15,0.46
21/12/2010 02:00,0,0,0,6.08,0.14,0.45
21/12/2010 03:00,0,0,0,6.08,0.14,0.41
21/12/2010 04:00,0,0,0,6.08,0.14,0.34
21/12/2010 05:00,0,0,0,6.07,0.14,0.25
21/12/2010 06:00,0,0,0,6.07,0.13,0.18
21/12/2010 07:00,0,0,0,6.07,0.13,0.23
21/12/2010 08:00,0,0,0,6.07,0.13,0.23
21/12/2010 09:00,0,0,0,6.07,0.12,0.25
21/12/2010 10:00,0,0,0,6.07,0.12,0.24
21/12/2010 11:00,0,0,0,6.07,0.12,0.19
21/12/2010 12:00,0,0,0,6.07,0.12,0.08
21/12/2010 13:00,0,0,0,6.07,0.11,-0.08
21/12/2010 14:00,0,0,0,6.07,0.11,-0.28
21/12/2010 15:00,0,0,0,6.07,0.11,-0.48
21/12/2010 16:00,0,0,0,6.07,0.11,-0.61
21/12/2010 17:00,0,0,0,6.07,0.1,-0.66
21/12/2010 18:00,0,0,0,6.07,0.1,-0.67
21/12/2010 19:00,0,0,0,6.07,0.1,-0.6
21/12/2010 20:00,0,0,0,6.07,0.1,-0.47
21/12/2010 21:00,0,0,0,6.07,0.1,-0.32
21/12/2010 22:00,0,0,0,6.07,0.09,-0.14
21/12/2010 23:00,0,0,0,6.07,0.09,0.04
22/12/2010 00:00,0,0,0,6.07,0.09,0.21
22/12/2010 01:00,0,0,0,6.07,0.09,0.35
22/12/2010 02:00,0,0,0,6.07,0.09,0.42
22/12/2010 03:00,0,0,0,6.07,0.08,0.41
22/12/2010 04:00,0,0,0,6.07,0.08,0.34
22/12/2010 05:00,0,0,0,6.06,0.08,0.28
22/12/2010 06:00,0,1.8,0,6.06,0.08,0.18
22/12/2010 07:00,0,1,0.6,6.06,0.08,0.16
22/12/2010 08:00,0,0,1,6.06,0.08,0.19
22/12/2010 09:00,0,0,0,6.06,0.08,0.21
22/12/2010 10:00,0,0,0,6.05,0.08,0.24
22/12/2010 11:00,0,0,0,6.05,0.08,0.23
22/12/2010 12:00,0,0,0,6.05,0.08,0.16
22/12/2010 13:00,0,0,0,6.05,0.08,0.04
22/12/2010 14:00,0,0,0,6.05,0.08,-0.12
22/12/2010 15:00,0,0,0,6.05,0.08,-0.32
22/12/2010 16:00,0,0,0,6.05,0.07,-0.53
22/12/2010 17:00,0,0,0,6.05,0.07,-0.59
22/12/2010 18:00,0,0,0,6.05,0.07,-0.64
22/12/2010 19:00,0,0,0,6.05,0.07,-0.6
22/12/2010 20:00,0,0,0,6.05,0.07,-0.53
22/12/2010 21:00,0,0,0,6.05,0.07,-0.36
22/12/2010 22:00,0,0,0,6.04,0.06,-0.18
22/12/2010 23:00,0,0,0,6.04,0.06,0.05
23/12/2010 00:00,0,0,0,6.04,0.06,0.26
23/12/2010 01:00,0,0,0,6.04,0.05,0.43
23/12/2010 02:00,0,0,0,6.04,0.05,0.53
23/12/2010 03:00,0,0,0,6.04,0.05,0.58
23/12/2010 04:00,0,0,0,6.04,0.04,0.56
23/12/2010 05:00,0,0,0,6.04,0.04,0.46
23/12/2010 06:00,0.2,0,0,6.04,0.04,0.37
23/12/2010 07:00,0,0,0,6.04,0.04,0.31
23/12/2010 08:00,0,0,0,6.04,0.04,0.25
23/12/2010 09:00,0,0,0,6.04,0.04,0.28
23/12/2010 10:00,0,0,0,6.04,0.04,0.32
23/12/2010 11:00,0,0,0,6.03,0.04,0.32
23/12/2010 12:00,0,0,0,6.03,0.04,0.29
23/12/2010 13:00,0,0,0,6.03,0.04,0.2
23/12/2010 14:00,0,0,0,6.03,0.04,0.06
23/12/2010 15:00,0,0,0,6.03,0.04,-0.16
23/12/2010 16:00,0,0,0,6.03,0.04,-0.4
23/12/2010 17:00,0,0,0,6.03,0.04,-0.58
23/12/2010 18:00,0,0,0,6.03,0.04,-0.66
23/12/2010 19:00,0,0,0,6.03,0.04,-0.65
23/12/2010 20:00,0,0,0,6.03,0.04,-0.64
23/12/2010 21:00,0,0,0,6.03,0.03,-0.55
23/12/2010 22:00,0,0,0,6.03,0.03,-0.38
23/12/2010 23:00,0,0,0,6.03,0.02,-0.18
24/12/2010 00:00,0,0,0.2,6.03,0.02,0.03
24/12/2010 01:00,0.2,0,0,6.03,0.01,0.21
24/12/2010 02:00,0,0,0,6.03,0.01,0.39
24/12/2010 03:00,0,0,0,6.03,0,0.5
24/12/2010 04:00,0,0,0,6.02,0,0.54
24/12/2010 05:00,0,0.2,0,6.02,-0.01,0.49
24/12/2010 06:00,0,0,0,6.02,-0.01,0.38
24/12/2010 07:00,0,0,0,6.02,-0.01,0.29
24/12/2010 08:00,0,0,0,6.02,-0.01,0.24
24/12/2010 09:00,0,0,0,6.02,-0.01,0.24
24/12/2010 10:00,0,0,0,6.02,-0.01,0.29
24/12/2010 11:00,0,0,0,6.02,-0.01,0.34
24/12/2010 12:00,0,0,0,6.02,-0.01,0.37
24/12/2010 13:00,0,0,0,6.02,0,0.35
24/12/2010 14:00,0,0,0,6.02,0,0.27
24/12/2010 15:00,0,0,0,6.02,0,0.12
24/12/2010 16:00,0,0,0,6.02,0,-0.12
24/12/2010 17:00,0,0,0,6.01,0,-0.33
24/12/2010 18:00,0,0,0,6.01,0,-0.48
24/12/2010 19:00,0,0,0,6.01,0,-0.55
24/12/2010 20:00,0,0,0,6.01,0,-0.57
24/12/2010 21:00,0,0,0,6.01,-0.01,-0.56
24/12/2010 22:00,0,0,0,6.01,-0.01,-0.45
24/12/2010 23:00,0,0,0,6.01,-0.02,-0.25
25/12/2010 00:00,0,0,0,6.01,-0.02,-0.05
